Aegwynn Gwixa-Aegwynn Gwixh-Aegwynn Aegwynn
BronzeDragonflight Gwixa-BronzeDragonflight Gwixh-BronzeDragonflight BronzeDragonflight
Bronzebeard Gwixa-AeriePeak Gwixh-AeriePeak Bronzebeard
BurningBlade Gwixa-Drak'thul Gwixh-Drak'thul BurningBlade
BurningLegion Gwixa-BurningLegion Gwixh-BurningLegion BurningLegion
BurningSteppes Gwixa-ShatteredHand Gwixh-ShatteredHand BurningSteppes
C'Thun Gwixa-C'Thun Gwixh-C'Thun C'Thun
Cthun Gwixa-C'Thun Gwixh-C'Thun C'Thun
ChamberofAspects Gwixa-ChamberofAspects Gwixh-ChamberofAspects ChamberofAspects
Chantséternels Gwixa-Vol'jin Gwixh-Vol'jin Chantséternels
Chantseternels Gwixa-Vol'jin Gwixh-Vol'jin Chantséternels
Cho'gall Gwixa-Cho'gall Gwixh-Cho'gall Cho'gall
Chogall Gwixa-Cho'gall Gwixh-Cho'gall Cho'gall
Chromaggus Gwixa-LaughingSkull Gwixh-LaughingSkull Chromaggus
ColinasPardas Gwixa-Tyrande Gwixh-Tyrande ColinasPardas
ConfrérieduThorium Gwixa-LesClairvoyants Gwixh-LesClairvoyants ConfrérieduThorium
ConfrerieduThorium Gwixa-LesClairvoyants Gwixh-LesClairvoyants ConfrérieduThorium
ConseildesOmbres Gwixa-ConseildesOmbres Gwixh-ConseildesOmbres ConseildesOmbres
Crushridge Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Crushridge
CultedelaRivenoire Gwixa-ConseildesOmbres Gwixh-ConseildesOmbres CultedelaRivenoire
Daggerspine Gwixa-LaughingSkull Gwixh-LaughingSkull Daggerspine
Dalaran Gwixa-Dalaran Gwixh-Dalaran Dalaran
Dalvengyr Gwixa-Zuluhed Gwixh-Zuluhed Dalvengyr
DarkmoonFaire Gwixa-EarthenRing Gwixh-EarthenRing DarkmoonFaire
Darksorrow Gwixa-Darksorrow Gwixh-Darksorrow Darksorrow
Darkspear Gwixa-Darkspear Gwixh-Darkspear Darkspear
DasKonsortium Gwixa-KultderVerdammten Gwixh-KultderVerdammten DasKonsortium
DasSyndikat Gwixa-KultderVerdammten Gwixh-KultderVerdammten DasSyndikat
Deathwing Gwixa-TheMaelstrom Gwixh-TheMaelstrom Deathwing
DefiasBrotherhood Gwixa-DefiasBrotherhood Gwixh-DefiasBrotherhood DefiasBrotherhood
Dentarg Gwixa-TarrenMill Gwixh-TarrenMill Dentarg
DerabyssischeRat Gwixa-KultderVerdammten Gwixh-KultderVerdammten DerabyssischeRat
DerMithrilorden Gwixa-DerRatvonDalaran Gwixh-DerRatvonDalaran DerMithrilorden
DerRatvonDalaran Gwixa-DerRatvonDalaran Gwixh-DerRatvonDalaran DerRatvonDalaran
Destromath Gwixa-Gorgonnash Gwixh-Gorgonnash Destromath
Dethecus Gwixa-Onyxia Gwixh-Onyxia Dethecus
DieAldor Gwixa-DieAldor Gwixh-DieAldor DieAldor
DieArguswacht Gwixa-KultderVerdammten Gwixh-KultderVerdammten DieArguswacht
DieEwigeWacht Gwixa-DieewigeWacht Gwixh-DieEwigeWacht DieEwigeWacht
DieNachtwache Gwixa-DieNachtwache Gwixh-DieNachtwache DieNachtwache
DieSilberneHand Gwixa-DieewigeWacht Gwixh-DieEwigeWacht DieSilberneHand
DieTodeskrallen Gwixa-KultderVerdammten Gwixh-KultderVerdammten DieTodeskrallen
Doomhammer Gwixa-Turalyon Gwixh-Turalyon Doomhammer
Draenor Gwixa-Draenor Gwixh-Draenor Draenor
Dragonblight Gwixa-Dragonblight Gwixh-Dragonblight Dragonblight
Dragonmaw Gwixa-Dragonmaw Gwixh-Dragonmaw Dragonmaw
Drak'thul Gwixa-Drak'thul Gwixh-Drak'thul Drak'thul
Drakthul Gwixa-Drak'thul Gwixh-Drak'thul Drak'thul
Drek'Thar Gwixa-Drek'Thar Gwixh-Drek'Thar Drek'Thar
DrekThar Gwixa-Drek'Thar Gwixh-Drek'Thar Drek'Thar
DunModr Gwixa-DunModr Gwixh-DunModr DunModr
DunMorogh Gwixa-Norgannon Gwixh-Norgannon DunMorogh
Dunemaul Gwixa-Jaedenar Gwixh-Jaedenar Dunemaul
Durotan Gwixa-Durotan Gwixh-Durotan Durotan
EarthenRing Gwixa-EarthenRing Gwixh-EarthenRing EarthenRing
Echsenkessel Gwixa-Mal'Ganis Gwixh-Mal'Ganis Echsenkessel
Eitrigg Gwixa-Krasus Gwixh-Krasus Eitrigg
Eldre'Thalas Gwixa-Cho'gall Gwixh-Cho'gall Eldre'Thalas
EldreThalas Gwixa-Cho'gall Gwixh-Cho'gall Eldre'Thalas
Elune Gwixa-Elune Gwixh-Elune Elune
EmeraldDream Gwixa-EmeraldDream Gwixh-EmeraldDream EmeraldDream
Emeriss Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Emeriss
Eonar Gwixa-Blade'sEdge Gwixh-Blade'sEdge Eonar
Eredar Gwixa-Eredar Gwixh-Eredar Eredar
Executus Gwixa-ShatteredHand Gwixh-ShatteredHand Executus
Exodar Gwixa-Exodar Gwixh-Exodar Exodar
FestungderStürme Gwixa-Gul'dan Gwixh-Gul'dan FestungderStürme
Forscherliga Gwixa-DieNachtwache Gwixh-DieNachtwache Forscherliga
Frostmane Gwixa-Frostmane Gwixh-Frostmane Frostmane
Frostmourne Gwixa-Zuluhed Gwixh-Zuluhed Frostmourne
Frostwhisper Gwixa-Frostwhisper Gwixh-Frostwhisper Frostwhisper
Frostwolf Gwixa-Frostwolf Gwixh-Frostwolf Frostwolf
Garona Gwixa-Sargeras Gwixh-Sargeras Garona
Garrosh Gwixa-Garrosh Gwixh-Garrosh Garrosh
Genjuros Gwixa-Darksorrow Gwixh-Darksorrow Genjuros
Ghostlands Gwixa-Dragonblight Gwixh-Dragonblight Ghostlands
Gilneas Gwixa-Ulduar Gwixh-Ulduar Gilneas
Gorgonnash Gwixa-Gorgonnash Gwixh-Gorgonnash Gorgonnash
GrimBatol Gwixa-GrimBatol Gwixh-GrimBatol GrimBatol
Gul'dan Gwixa-Gul'dan Gwixh-Gul'dan Gul'dan
Guldan Gwixa-Gul'dan Gwixh-Gul'dan Gul'dan
Hakkar Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Hakkar
Haomarush Gwixa-Dragonmaw Gwixh-Dragonmaw Haomarush
Hellfire Gwixa-Hellfire Gwixstolen-Hellfire Hellfire
Hellscream Gwixa-Aggramar Gwixh-Aggramar Hellscream
Hyjal Gwixa-Hyjal Gwixh-Hyjal Hyjal
Illidan Gwixa-Illidan Gwixh-Illidan Illidan
Jaedenar Gwixa-Jaedenar Gwixh-Jaedenar Jaedenar
Kael'thas Gwixa-Kael'thas Gwixh-Kael'thas Kael'thas
Kaelthas Gwixa-Kael'thas Gwixh-Kael'thas Kael'thas
Karazhan Gwixa-TheMaelstrom Gwixh-TheMaelstrom Karazhan
Kargath Gwixa-Ambossar Gwixh-Ambossar Kargath
Kazzak Gwixa-Kazzak Gwixh-Kazzak Kazzak
Kel'Thuzad Gwixa-Blutkessel Gwixh-Blutkessel Kel'Thuzad
KelThuzad Gwixa-Blutkessel Gwixh-Blutkessel Kel'Thuzad
Khadgar Gwixa-Bloodhoof Gwixh-Bloodhoof Khadgar
KhazModan Gwixa-KhazModan Gwixh-KhazModan KhazModan
Khaz'Goroth Gwixa-Khaz'goroth Gwixh-Khaz'Goroth Khaz'Goroth
KhazGoroth Gwixa-Khaz'goroth Gwixh-Khaz'Goroth Khaz'Goroth
Kil'jaeden Gwixa-Gul'dan Gwixh-Gul'dan Kil'jaeden
Kiljaeden Gwixa-Gul'dan Gwixh-Gul'dan Kil'jaeden
Kilrogg Gwixa-Nagrand Gwixh-Nagrand Kilrogg
KirinTor Gwixa-KirinTor Gwixh-KirinTor KirinTor
Kor'gall Gwixa-ShatteredHand Gwixh-ShatteredHand Kor'gall
Korgall Gwixa-ShatteredHand Gwixh-ShatteredHand Kor'gall
Krag'jin Gwixa-Azshara Gwixh-Azshara Krag'jin
Kragjin Gwixa-Azshara Gwixh-Azshara Krag'jin
Krasus Gwixa-Krasus Gwixh-Krasus Krasus
KulTiras Gwixa-Anachronos Gwixh-Anachronos KulTiras
KultderVerdammten Gwixa-KultderVerdammten Gwixh-KultderVerdammten KultderVerdammten
LaCroisadeécarlate Gwixa-ConseildesOmbres Gwixh-ConseildesOmbres LaCroisadeécarlante
LaCroisadeecarlate Gwixa-ConseildesOmbres Gwixh-ConseildesOmbres LaCroisadeécarlante
LaughingSkull Gwixa-LaughingSkull Gwixh-LaughingSkull LaughingSkull
LesClairvoyants Gwixa-LesClairvoyants Gwixh-LesClairvoyants LesClairvoyants
LesSentinelles Gwixa-LesClairvoyants Gwixh-LesClairvoyants LesSentinelles
Lightbringer Gwixa-Lightbringer Gwixh-Lightbringer Lightbringer
Lightning'sBlade Gwixa-TheMaelstrom Gwixh-TheMaelstrom Lightning'sBlade
LightningsBlade Gwixa-TheMaelstrom Gwixh-TheMaelstrom Lightning'sBlade
Lordaeron Gwixa-Lordaeron Gwixh-Lordaeron Lordaeron
LosErrantes Gwixa-Tyrande Gwixh-Tyrande LosErrantes
Lothar Gwixa-Baelgun Gwixh-Baelgun Lothar
Madmortem Gwixa-Proudmoore Gwixh-Proudmoore Madmortem
Magtheridon Gwixa-Magtheridon Gwixh-Magtheridon Magtheridon
MalGanis Gwixa-Mal'Ganis Gwixh-Mal'Ganis Mal'Ganis
Mal'Ganis Gwixa-Mal'Ganis Gwixh-Mal'Ganis Mal'Ganis
Malfurion Gwixa-Malygos Gwixh-Malygos Malfurion
Malorne Gwixa-Ysera Gwixh-Ysera Malorne
Malygos Gwixa-Malygos Gwixh-Malygos Malygos
Mannoroth Gwixa-Gorgonnash Gwixh-Gorgonnash Mannoroth
MarécagedeZangar Gwixa-Dalaran Gwixh-Dalaran MarécagedeZangar
MarecagedeZangar Gwixa-Dalaran Gwixh-Dalaran MarécagedeZangar
Mazrigos Gwixa-Lightbringer Gwixh-Lightbringer Mazrigos
Medivh Gwixa-Medivh Gwixh-Medivh Medivh
Minahonda Gwixa-Exodar Gwixh-Exodar Minahonda
Moonglade Gwixa-TheSha'tar Gwixh-TheSha'tar Moonglade
Mug'thol Gwixa-Onyxia Gwixh-Onyxia Mug'thol
Mugthol Gwixa-Onyxia Gwixh-Onyxia Mug'thol
Nagrand Gwixa-Nagrand Gwixh-Nagrand Nagrand
Nathrezim Gwixa-Gul'dan Gwixh-Gul'dan Nathrezim
Naxxramas Gwixa-Illidan Gwixh-Illidan Naxxramas
Nazjatar Gwixa-Zuluhed Gwixh-Zuluhed Nazjatar
Nefarian Gwixa-Gorgonnash Gwixh-Gorgonnash Nefarian
Nemesis Gwixa-Nemesis Gwixh-Nemesis Nemesis
Neptulon Gwixa-Darksorrow Gwixh-Darksorrow Neptulon
Ner'zhul Gwixa-Sargeras Gwixh-Sargeras Ner'zhul
Nerzhul Gwixa-Sargeras Gwixh-Sargeras Ner'zhul
Nera'thor Gwixa-Gorgonnash Gwixh-Gorgonnash Nera'thor
Nerathor Gwixa-Gorgonnash Gwixh-Gorgonnash Nera'thor
Nethersturm Gwixa-Alexstrasza Gwixh-Alexstrasza Nethersturm
Nordrassil Gwixa-BronzeDragonflight Gwixh-BronzeDragonflight Nordrassil
Norgannon Gwixa-Norgannon Gwixh-Norgannon Norgannon
Nozdormu Gwixa-Garrosh Gwixh-Garrosh Nozdormu
Onyxia Gwixa-Onyxia Gwixh-Onyxia Onyxia
Outland Gwixa-Outland Gwixh-Outland Outland
Perenolde Gwixa-Teldrassil Gwixh-Teldrassil Perenolde
Pozzodell'Eternità Gwixa-Pozzodell'Eternità Gwixh-Pozzodell'Eternità Pozzodell'Eternità
Pozzodell'Eternita Gwixa-Pozzodell'Eternità Gwixh-Pozzodell'Eternità Pozzodell'Eternità
PozzodellEternità Gwixa-Pozzodell'Eternità Gwixh-Pozzodell'Eternità Pozzodell'Eternità
PozzodellEternita Gwixa-Pozzodell'Eternità Gwixh-Pozzodell'Eternità Pozzodell'Eternità
Proudmoore Gwixa-Proudmoore Gwixh-Proudmoore Proudmoore
Quel'Thalas Gwixa-AzjolNerub Gwixh-AzjolNerub Quel'Thalas
QuelThalas Gwixa-AzjolNerub Gwixh-AzjolNerub Quel'Thalas
Ragnaros Gwixa-Ragnaros Gwixh-Ragnaros Ragnaros
Rajaxx Gwixa-Gul'dan Gwixh-Gul'dan Rajaxx
Rashgarroth Gwixa-Kael'thas Gwixh-Kael'thas Rashgarroth
Ravencrest Gwixa-Ravencrest Gwixh-Ravencrest Ravencrest
Ravenholdt Gwixa-DefiasBrotherhood Gwixh-DefiasBrotherhood Ravenholdt
Rexxar Gwixa-Rexxar Gwixh-Rexxar Rexxar
Runetotem Gwixa-Nagrand Gwixh-Nagrand Runetotem
Sanguino Gwixa-Sanguino Gwixh-Sanguino Sanguino
Sargeras Gwixa-Sargeras Gwixh-Sargeras Sargeras
Saurfang Gwixa-Darkspear Gwixh-Darkspear Saurfang
ScarshieldLegion Gwixa-DefiasBrotherhood Gwixh-DefiasBrotherhood ScarshieldLegion
Sen'jin Gwixa-Area52 Gwixh-Area52 Sen'jin
Senjin Gwixa-Area52 Gwixh-Area52 Sen'jin
Shadowsong Gwixa-Shadowsong Gwixh-Shadowsong Shadowsong
ShatteredHalls Gwixa-LaughingSkull Gwixh-LaughingSkull ShatteredHalls
ShatteredHand Gwixa-ShatteredHand Gwixh-ShatteredHand ShatteredHand
Shattrath Gwixa-Garrosh Gwixh-Garrosh Shattrath
Shen'dralar Gwixa-Sanguino Gwixh-Sanguino Shen'dralar
Shendralar Gwixa-Sanguino Gwixh-Sanguino Shen'dralar
Silvermoon Gwixa-Silvermoon Gwixh-Silvermoon Silvermoon
Sinstralis Gwixa-Cho'gall Gwixh-Cho'gall Sinstralis
Skullcrusher Gwixa-Al'Akir Gwixh-Al'Akir Skullcrusher
Spinebreaker Gwixa-Dragonmaw Gwixh-Dragonmaw Spinebreaker
Sporeggar Gwixa-DefiasBrotherhood Gwixh-DefiasBrotherhood Sporeggar
SteamwheedleCartel Gwixa-TheSha'tar Gwixh-TheSha'tar SteamwheedleCartel
Stormrage Gwixa-Azuremyst Gwixh-Azuremyst Stormrage
Stormreaver Gwixa-Dragonmaw Gwixh-Dragonmaw Stormreaver
Stormscale Gwixa-Stormscale Gwixh-Stormscale Stormscale
Sunstrider Gwixa-LaughingSkull Gwixh-LaughingSkull Sunstrider
Suramar Gwixa-Medivh Gwixh-Medivh Suramar
Sylvanas Gwixa-Sylvanas Gwixh-Sylvanas Sylvanas
Taerar Gwixa-Mal'Ganis Gwixh-Mal'Ganis Taerar
Talnivarr Gwixa-LaughingSkull Gwixh-LaughingSkull Talnivarr
TarrenMill Gwixa-TarrenMill Gwixh-TarrenMill TarrenMill
Teldrassil Gwixa-Teldrassil Gwixh-Teldrassil Teldrassil
Templenoir Gwixa-Illidan Gwixh-Illidan Templenoir
Terenas Gwixa-EmeraldDream Gwixh-EmeraldDream Terenas
Terokkar Gwixa-Darkspear Gwixh-Darksprear Terokkar
Terrordar Gwixa-Onyxia Gwixh-Onyxia Terrordar
TheMaelstrom Gwixa-TheMaelstrom Gwixh-TheMaelstrom TheMaelstrom
TheSha'tar Gwixa-TheSha'tar Gwixh-TheSha'tar TheSha'tar
TheShatar Gwixa-TheSha'tar Gwixh-TheSha'tar TheSha'tar
TheVentureCo Gwixa-DefiasBrotherhood Gwixh-DefiasBrotherhood TheVentureCo
Theradras Gwixa-Onyxia Gwixh-Onyxia Theradras
Thrall Gwixa-Thrall Gwixh-Thrall Thrall
Throk'Feroth Gwixa-Kael'thas Gwixh-Kael'thas Throk'Feroth
ThrokFeroth Gwixa-Kael'thas Gwixh-Kael'thas Throk'Feroth
Thunderhorn Gwixa-Thunderhorn Gwixh-Thunderhorn Thunderhorn
Tichondrius Gwixa-Lordaeron Gwixh-Lordaeron Tichondrius
Tirion Gwixa-Durotan Gwixh-Durotan Tirion
Todeswache Gwixa-ZirkeldesCenarius Gwixh-ZirkeldesCenarius Todeswache
Trollbane Gwixa-LaughingSkull Gwixh-LaughingSkull Trollbane
Turalyon Gwixa-Turalyon Gwixh-Turalyon Turalyon
Twilight'sHammer Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Twilight'sHammer
TwilightsHammer Gwixa-Twilight'sHammer Gwixh-Twilight'sHammer Twilight'sHammer
TwistingNether Gwixa-TwistingNether Gwixh-TwistingNether TwistingNether
Tyrande Gwixa-Tyrande Gwixh-Tyrande Tyrande
Uldaman Gwixa-Drek'Thar Gwixh-Drek'Thar Uldaman
Ulduar Gwixa-Ulduar Gwixh-Ulduar Ulduar
Uldum Gwixa-Sanguino Gwixh-Sanguino Uldum
Un'Goro Gwixa-Area52 Gwixh-Area52 Un'Goro
UnGoro Gwixa-Area52 Gwixh-Area52 Un'Goro
Varimathras Gwixa-Elune Gwixh-Elune Varimathras
Vashj Gwixa-Dragonmaw Gwixh-Dragonmaw Vashj
Vek'lor Gwixa-Blutkessel Gwixh-Blutkessel Vek'lor
Veklor Gwixa-Blutkessel Gwixh-Blutkessel Vek'lor
Vek'nilash Gwixa-Blade'sEdge Gwixh-Blade'sEdge Vek'nilasj
Veknilash Gwixa-Blade'sEdge Gwixh-Blade'sEdge Vek'nilasj
Vol'jin Gwixa-Vol'jin Gwixh-Vol'jin Vol'jin
Voljin Gwixa-Vol'jin Gwixh-Vol'jin Vol'jin
Wildhammer Gwixa-Thunderhorn Gwixh-Thunderhorn Wildhammer
Wrathbringer Gwixa-Blutkessel Gwixh-Blutkessel Wrathbringer
Xavius Gwixa-Al'Akir Gwixh-Al'Akir Xavius
Ysera Gwixa-Ysera Gwixh-Ysera Ysera
Ysondre Gwixa-Ysondre Gwixh-Ysondre Ysondre
Zenedar Gwixa-Frostwhisper Gwixh-Frostwhisper Zenedar
ZirkeldesCenarius Gwixa-ZirkeldesCenarius Gwixh-ZirkeldesCenarius ZirkeldesCenarius
Zul'jin Gwixa-Sanguino Gwixh-Sanguino Zul'jin
Zuljin Gwixa-Sanguino Gwixh-Sanguino Zul'jin
Zuluhed Gwixa-Zuluhed Gwixh-Zuluhed Zuluhed
